prot	method	featset	metric	val.max
P09619	DECISION_TREE	linear	Precision	0.947368421052632
P10398	RANDOM_FOREST	boruta	Precision	1
P10721	XGBOOST	union	Precision	0.82258064516129
P11309	RIDGE	linear	Precision	0.973913043478261
P11362	LASSO	union	Precision	0.968253968253968
P11802	SVM	linear	Precision	0.986486486486487
P12931	DECISION_TREE	common	Precision	0.897196261682243
P15056	XGBOOST	linear	Precision	0.953488372093023
P16234	LASSO	linear	Precision	0.88
P17948	XGBOOST	boruta	Precision	0.964285714285714
P19784	NAIVE	boruta	Precision	1
P21802	NAIVE	linear	Precision	0.995073891625616
P22455	NAIVE	boruta	Precision	1
P22607	RIDGE	boruta	Precision	0.990825688073395
P23458	RIDGE	linear	Precision	0.990825688073395
P24941	RANDOM_FOREST	boruta	Precision	1
P25098	NAIVE	linear	Precision	1
P28482	XGBOOST	union	Precision	0.990740740740741
P29597	DECISION_TREE	common	Precision	1
P30530	CART	union	Precision	1
P31749	DECISION_TREE	boruta	Precision	0.962121212121212
P31751	RIDGE	union	Precision	0.968253968253968
P35968	DECISION_TREE	common	Precision	0.9375
P36888	LOGISTIC	union	Precision	0.966101694915254
P36897	RIDGE	linear	Precision	1
P42336	DECISION_TREE	union	Precision	0.952631578947368
P42338	DECISION_TREE	boruta	Precision	1
P42345	XGBOOST	boruta	Precision	0.991620111731844
P43405	NEURALNET	linear	Precision	0.98326359832636
P45983	NAIVE	boruta	Precision	1
P45984	DECISION_TREE	union	Precision	0.888888888888889
P48736	SVM	union	Precision	0.984375
P49137	RANDOM_FOREST	boruta	Precision	1
P49759	SVM	linear	Precision	1
P49840	XGBOOST	linear	Precision	0.941176470588235
P49841	RANDOM_FOREST	union	Precision	0.96875
P50750	DECISION_TREE	union	Precision	1
P52333	LASSO	union	Precision	0.970873786407767
P53350	DECISION_TREE	boruta	Precision	1
P53667	SVM	boruta	Precision	1
P53779	RANDOM_FOREST	boruta	Precision	1
P68400	SVM	union	Precision	0.980392156862745
Q02750	ELASTICNET	union	Precision	1
Q02763	XGBOOST	linear	Precision	1
Q04759	ELASTICNET	union	Precision	0.974358974358974
Q05397	XGBOOST	linear	Precision	0.987654320987654
Q06187	NEURALNET	union	Precision	0.99438202247191
Q06418	NEURALNET	linear	Precision	1
Q07912	SVM	boruta	Precision	1
Q08881	RIDGE	linear	Precision	1
Q13315	LASSO	boruta	Precision	0.909090909090909
Q13535	NAIVE	boruta	Precision	1
Q13627	RANDOM_FOREST	boruta	Precision	1
Q14164	NAIVE	boruta	Precision	1
Q16288	LOGISTIC	linear	Precision	1
Q16539	DECISION_TREE	union	Precision	0.965217391304348
Q5S007	CART	union	Precision	0.964285714285714
Q96GD4	XGBOOST	linear	Precision	0.970802919708029
Q9NWZ3	DECISION_TREE	union	Precision	0.941176470588235
Q9P1W9	NAIVE	union	Precision	1
Q9UM73	RIDGE	common	Precision	0.990566037735849
Q9Y243	SVM	boruta	Precision	1
O00329	SVM	union	Recall	0.980263157894737
O14757	KNN	boruta	Recall	0.992481203007519
O14920	KNN	boruta	Recall	0.972222222222222
O14965	KNN	boruta	Recall	0.97979797979798
O15530	SVM	boruta	Recall	1
O60674	KNN	boruta	Recall	0.994832041343669
O75116	KNN	boruta	Recall	0.992481203007519
O96017	CART	boruta	Recall	0.96969696969697
P00519	RANDOM_FOREST	union	Recall	0.954545454545455
P00533	KNN	boruta	Recall	0.954545454545455
P04049	ELASTICNET	linear	Recall	0.972972972972973
P04626	NAIVE	union	Recall	0.955882352941177
P04629	SVM	linear	Recall	1
P05771	SVM	boruta	Recall	1
P06213	DECISION_TREE	boruta	Recall	1
P06239	KNN	linear	Recall	0.985714285714286
P06493	NAIVE	boruta	Recall	0.91304347826087
P07333	SVM	boruta	Recall	1
P07947	LOGISTIC	boruta	Recall	1
P07949	SVM	linear	Recall	0.973684210526316
P08069	SVM	boruta	Recall	0.992857142857143
P08581	SVM	boruta	Recall	1
P09619	KNN	boruta	Recall	1
P10398	CART	linear	Recall	1
P10721	CART	linear	Recall	0.944444444444444
P11309	KNN	boruta	Recall	1
P11362	SVM	union	Recall	0.984126984126984
P11802	SVM	boruta	Recall	1
P12931	KNN	union	Recall	0.952380952380952
P15056	XGBOOST	boruta	Recall	0.953488372093023
P16234	SVM	linear	Recall	0.92
P17948	NAIVE	boruta	Recall	0.933333333333333
P19784	LOGISTIC	boruta	Recall	1
P21802	SVM	boruta	Recall	1
P22455	RANDOM_FOREST	boruta	Recall	1
P22607	SVM	boruta	Recall	1
P23458	RANDOM_FOREST	boruta	Recall	0.997695852534562
P24941	XGBOOST	linear	Recall	0.945945945945946
P25098	SVM	boruta	Recall	1
P28482	RANDOM_FOREST	boruta	Recall	1
